WHORegionName,Year,Iso3,CountryTerritoryArea,Specimen,PathogenName,AntibioticName,InterpretableAST,Resistant,ResistancePercentage,SourceFile
European Region,2023,BIH,Bosnia and Herzegovina,Bloodstream,Acinetobacter spp.,Imipenem,217,207,95.391705069,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,HRV,Croatia,Bloodstream,Acinetobacter spp.,Imipenem,97,91,93.81443299,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,CYP,Cyprus,Bloodstream,Acinetobacter spp.,Imipenem,94,81,86.170212766,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,CZE,Czechia,Bloodstream,Acinetobacter spp.,Imipenem,43,15,34.88372093,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,EST,Estonia,Bloodstream,Acinetobacter spp.,Imipenem,13,3,23.076923077,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,GEO,Georgia,Bloodstream,Acinetobacter spp.,Imipenem,75,65,86.666666667,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,DEU,Germany,Bloodstream,Acinetobacter spp.,Imipenem,335,10,2.985074627,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,GRC,Greece,Bloodstream,Acinetobacter spp.,Imipenem,1388,1333,96.037463977,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,IRL,Ireland,Bloodstream,Acinetobacter spp.,Imipenem,12,0,0,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,ITA,Italy,Bloodstream,Acinetobacter spp.,Imipenem,1368,1095,80.043859649,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,XKX,Kosovo,Bloodstream,Acinetobacter spp.,Imipenem,29,27,93.103448276,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,LVA,Latvia,Bloodstream,Acinetobacter spp.,Imipenem,55,37,67.272727273,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,LTU,Lithuania,Bloodstream,Acinetobacter spp.,Imipenem,55,47,85.454545455,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,MLT,Malta,Bloodstream,Acinetobacter spp.,Imipenem,22,1,4.545454545,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,NLD,Netherlands (Kingdom of the),Bloodstream,Acinetobacter spp.,Imipenem,69,1,1.449275362,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,MKD,North Macedonia,Bloodstream,Acinetobacter spp.,Imipenem,31,31,100,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,POL,Poland,Bloodstream,Acinetobacter spp.,Imipenem,425,345,81.176470588,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,MDA,Republic of Moldova,Bloodstream,Acinetobacter spp.,Imipenem,61,52,85.245901639,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,RUS,Russian Federation,Bloodstream,Acinetobacter spp.,Imipenem,1302,1149,88.248847926,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,SWE,Sweden,Bloodstream,Acinetobacter spp.,Imipenem,125,3,2.4,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,CHE,Switzerland,Bloodstream,Acinetobacter spp.,Imipenem,107,12,11.214953271,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,TUR,T<U+00FC>rkiye,Bloodstream,Acinetobacter spp.,Imipenem,2726,2471,90.645634629,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,UKR,Ukraine,Bloodstream,Acinetobacter spp.,Imipenem,213,173,81.220657277,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,GBR,United Kingdom of Great Britain and Northern Ireland,Bloodstream,Acinetobacter spp.,Imipenem,212,9,4.245283019,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,AUT,Austria,Bloodstream,Acinetobacter spp.,Meropenem,61,1,1.639344262,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,BEL,Belgium,Bloodstream,Acinetobacter spp.,Meropenem,162,5,3.086419753,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,BIH,Bosnia and Herzegovina,Bloodstream,Acinetobacter spp.,Meropenem,216,206,95.37037037,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,HRV,Croatia,Bloodstream,Acinetobacter spp.,Meropenem,163,158,96.932515337,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
